scenario,replicate,year,C_f,S_b-i,P_adp,C_adp,V_LUC,R2,R1,S_LUC,div,div_loss
45,1,2074,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,135.8732958,-22.46168041
45,1,2075,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,135.3933392,-22.7355755
45,1,2076,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,134.718714,-23.12056141
45,1,2077,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,134.2053178,-23.41353935
45,1,2078,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,133.6616021,-23.72381961
45,1,2079,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,133.0988266,-24.04497666
45,1,2080,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,132.7253612,-24.2581008
45,1,2081,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,132.3242217,-24.48701762
45,1,2082,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,131.7853897,-24.79451092
45,1,2083,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,131.3384657,-25.04955541
45,1,2084,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,131.1255511,-25.17105861
45,1,2085,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,130.6312148,-25.45315971
45,1,2086,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,130.0748152,-25.77067825
45,1,2087,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,129.322119,-26.20021665
45,1,2088,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,128.8066201,-26.49439453
45,1,2089,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,128.2997355,-26.78365652
45,1,2090,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,127.6540053,-27.15215303
45,1,2091,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,127.2319067,-27.3930305
45,1,2092,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,126.8228312,-27.62647613
45,1,2093,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,126.488503,-27.81726599
45,1,2094,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,126.114902,-28.03046751
45,1,2095,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,125.7054873,-28.26410671
45,1,2096,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,125.2702978,-28.51245472
45,1,2097,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,124.8419589,-28.75689332
45,1,2098,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,124.5249271,-28.93781271
45,1,2099,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,124.3065862,-29.06241251
45,2,2015,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,194.9535379,0
45,2,2016,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,194.6679092,-0.146511165
45,2,2017,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,194.3376157,-0.315932815
45,2,2018,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,193.8649404,-0.558388174
45,2,2019,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,193.3103242,-0.842874522
45,2,2020,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,192.5972176,-1.208657368
45,2,2021,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,191.5940891,-1.72320484
45,2,2022,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,190.8659389,-2.096704191
45,2,2023,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,189.9165946,-2.583663448
45,2,2024,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,188.8395793,-3.136110617
45,2,2025,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,188.0192372,-3.556899133
45,2,2026,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,187.0398722,-4.05925729
45,2,2027,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,185.9665846,-4.609792362
45,2,2028,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,185.2016907,-5.002139128
45,2,2029,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,184.118019,-5.558000648
45,2,2030,0.591,373,0.0271,0.00224,0.452808497,-1,0.625801054,-0.374198946,183.2313786,-6.012796396
